state,year,scst,credit,g,repo,repo_l,cpi,nsdp,lnnsdp,repo_x_scst
Andaman & Nicobar Islands,2011,7.496433085203938,682.0,15.789473684210531,5.887,5.887,,,,44.13150157259558
Andaman & Nicobar Islands,2012,7.496433085203938,774.0,13.489736070381241,6.75,5.887,,89100.0,11.3975146134589,50.60092332512658
Andaman & Nicobar Islands,2013,7.496433085203938,898.0,16.020671834625322,6.75,6.75,,92644.0,11.436519469767603,50.60092332512658
Andaman & Nicobar Islands,2014,7.496433085203938,1014.0,12.917594654788411,7.487,6.75,,98735.0,11.50019477249141,56.125794508921885
Andaman & Nicobar Islands,2015,7.496433085203938,1182.0,16.568047337278102,7.929,7.487,6.7,106711.0,11.577879524759654,59.439217932582025
Andaman & Nicobar Islands,2016,7.496433085203938,1429.0,20.896785109983075,6.38,7.929,6.4,114660.0,11.649726506462374,47.827243083601125
Andaman & Nicobar Islands,2017,7.496433085203938,1579.0,10.496850944716595,6.084,6.38,6.2,129532.0,11.771683233843607,45.60829889038075
Andaman & Nicobar Islands,2018,7.496433085203938,1843.0,16.719442685243834,6.333,6.084,3.6,145562.0,11.888357391670175,47.47491072859654
Andaman & Nicobar Islands,2019,7.496433085203938,2173.0,17.905588714053167,5.44,6.333,6.9,154233.0,11.946219724997068,40.78059598350942
Andaman & Nicobar Islands,2020,7.496433085203938,2381.0,9.572020248504366,4.056,5.44,6.5,161564.0,11.992656627974474,30.40553259358717
Andaman & Nicobar Islands,2021,7.496433085203938,2795.0,17.387652246955064,4.0,4.056,6.3,146995.0,11.898153851576955,29.98573234081575
Andaman & Nicobar Islands,2022,7.496433085203938,3462.0,23.86404293381037,5.486,4.0,6.0,160513.0,11.986130215156873,41.1254319054288
Andaman & Nicobar Islands,2023,7.496433085203938,3675.0,6.15251299826689,6.5,5.486,6.1,170292.0,12.045269889622539,48.7268150538256
Andaman & Nicobar Islands,2024,7.496433085203938,4110.0,11.83673469387756,6.464,6.5,3.5,178431.0,12.091957250848486,48.456943462758254
Andaman & Nicobar Islands,2025,7.496433085203938,4463.0,8.588807785888086,5.517,6.464,2.7,,,41.35782133107013
Andhra Pradesh + Telangana,2011,33.593574104905656,321243.0,22.57206631436366,5.887,5.887,,,,197.7653707555796
Andhra Pradesh + Telangana,2012,33.593574104905656,384212.0,19.601672254337068,6.75,5.887,,160121.0,11.98368505840302,226.75662520811318
Andhra Pradesh + Telangana,2013,33.593574104905656,440659.0,14.691628580054772,6.75,6.75,,161597.0,11.992860860540377,226.75662520811318
Andhra Pradesh + Telangana,2014,33.593574104905656,490843.0,11.388397831429753,7.487,6.75,,168293.0,12.033461786919377,251.51508932342864
Andhra Pradesh + Telangana,2015,33.593574104905656,532161.0,8.417762909932502,7.929,7.487,5.5,180598.0,12.104028845706582,266.36344907779693
Andhra Pradesh + Telangana,2016,33.593574104905656,594832.0,11.776699156834125,6.38,7.929,7.4,200876.0,12.210443081247709,214.3270027892981
Andhra Pradesh + Telangana,2017,33.593574104905656,647399.0,8.83728514942035,6.084,6.38,5.2,215627.0,12.281305342087064,204.383304854246
Andhra Pradesh + Telangana,2018,33.593574104905656,757814.0,17.05516999562866,6.333,6.084,3.4,234680.0,12.365978163039797,212.74810480636754
Andhra Pradesh + Telangana,2019,33.593574104905656,852852.0,12.54107208365114,5.44,6.333,1.1,255630.0,12.451486365490112,182.74904313068677
Andhra Pradesh + Telangana,2020,33.593574104905656,923273.0,8.257118468386082,4.056,5.44,3.5,263873.0,12.483223205775618,136.25553656949734
Andhra Pradesh + Telangana,2021,33.593574104905656,1037725.0,12.3963334788302,4.0,4.056,9.0,251714.0,12.436048801348525,134.37429641962262
Andhra Pradesh + Telangana,2022,33.593574104905656,1211417.0,16.737767713026088,5.486,4.0,5.8,274804.0,12.523813395265151,184.29434753951242
Andhra Pradesh + Telangana,2023,33.593574104905656,1341342.0,10.725043482137032,6.5,5.486,7.6,291116.0,12.581477092153174,218.35823168188676
Andhra Pradesh + Telangana,2024,33.593574104905656,1607967.0,19.877480910908616,6.464,6.5,5.5,310188.0,12.644933844256766,217.14886301411016
Andhra Pradesh + Telangana,2025,33.593574104905656,1768421.0,9.978687373559293,5.517,6.464,4.4,333737.0,12.718108536627113,185.3357483367645
Arunachal Pradesh,2011,68.78676212865689,1231.0,8.267370272647323,5.887,5.887,,,,404.9476686514031
Arunachal Pradesh,2012,68.78676212865689,1375.0,11.69780666125102,6.75,5.887,,73540.0,11.205584754855263,464.310644368434
Arunachal Pradesh,2013,68.78676212865689,1531.0,11.345454545454547,6.75,6.75,,73960.0,11.211279685501061,464.310644368434
Arunachal Pradesh,2014,68.78676212865689,1784.0,16.525146962769433,7.487,6.75,,79004.0,11.277253763078749,515.0064880572542
Arunachal Pradesh,2015,68.78676212865689,2146.0,20.2914798206278,7.929,7.487,6.0,91034.0,11.41898834209166,545.4102369181205
Arunachal Pradesh,2016,68.78676212865689,2533.0,18.033550792171482,6.38,7.929,4.8,88768.0,11.393781503674504,438.85954238083093
Arunachal Pradesh,2017,68.78676212865689,2843.0,12.238452427951053,6.084,6.38,2.6,91311.0,11.422026541253405,418.4986607907485
Arunachal Pradesh,2018,68.78676212865689,3362.0,18.255364052057676,6.333,6.084,4.4,94000.0,11.451050061252142,435.6265645607841
Arunachal Pradesh,2019,68.78676212865689,3834.0,14.039262343842939,5.44,6.333,5.9,99570.0,11.50861619338213,374.1999859798935
Arunachal Pradesh,2020,68.78676212865689,4277.0,11.554512258737603,4.056,5.44,6.0,113081.0,11.635859655065206,278.99910719383234
Arunachal Pradesh,2021,68.78676212865689,4920.0,15.033902267944832,4.0,4.056,8.5,105892.0,11.570174985770922,275.14704851462756
Arunachal Pradesh,2022,68.78676212865689,6053.0,23.02845528455284,5.486,4.0,4.0,104980.0,11.56152513480629,377.36417703781166
Arunachal Pradesh,2023,68.78676212865689,7279.0,20.254419296216742,6.5,5.486,6.5,106512.0,11.576012933840484,447.1139538362698
Arunachal Pradesh,2024,68.78676212865689,8735.0,20.002747630168983,6.464,6.5,4.6,110766.0,11.615175146998624,444.63763039963817
Arunachal Pradesh,2025,68.78676212865689,10273.0,17.607326846021753,5.517,6.464,5.1,120943.0,11.70307463920832,379.4965666638001
Assam,2011,19.598074395422152,21377.0,16.388087330538468,5.887,5.887,,,,115.3738639658502
Assam,2012,19.598074395422152,25124.0,17.528184497356982,6.75,5.887,,41142.0,10.624784776512419,132.28700216909954
Assam,2013,19.598074395422152,28525.0,13.536857188345808,6.75,6.75,,41609.0,10.636071769003747,132.28700216909954
Assam,2014,19.598074395422152,31630.0,10.8851884312007,7.487,6.75,,43002.0,10.669001905221974,146.73078299852565
Assam,2015,19.598074395422152,35715.0,12.914954157445457,7.929,7.487,6.7,44809.0,10.710164291083952,155.39313188130225
Assam,2016,19.598074395422152,43202.0,20.96318073638528,6.38,7.929,4.5,50642.0,10.832536550508946,125.03571464279332
Assam,2017,19.598074395422152,48754.0,12.851256886255257,6.084,6.38,3.9,53575.0,10.888837820341777,119.23468462174837
Assam,2018,19.598074395422152,57186.0,17.29499118021085,6.333,6.084,2.7,57835.0,10.965349407729502,124.11460514620849
Assam,2019,19.598074395422152,65150.0,13.926485503444908,5.44,6.333,3.9,59943.0,11.001149389668242,106.61352471109652
Assam,2020,19.598074395422152,70625.0,8.40368380660015,4.056,5.44,2.2,61519.0,11.02710134917095,79.48978974783225
Assam,2021,19.598074395422152,80871.0,14.507610619469036,4.0,4.056,7.3,62944.0,11.050000721188786,78.39229758168861
Assam,2022,19.598074395422152,95992.0,18.697679019673295,5.486,4.0,4.7,63657.0,11.06126457437221,107.51503613328592
Assam,2023,19.598074395422152,107839.0,12.341653471122594,6.5,5.486,5.7,71551.0,11.178165761127321,127.38748357024399
Assam,2024,19.598074395422152,127803.0,18.512782944945716,6.464,6.5,5.8,80089.0,11.290893795286475,126.6819528920088
Assam,2025,19.598074395422152,146867.0,14.91670774551459,5.517,6.464,6.0,85988.0,11.361963030616026,108.12257643954402
Bihar,2011,17.19883981713948,35167.0,20.745064377682397,5.887,5.887,,,,101.24957000350011
Bihar,2012,17.19883981713948,41413.0,17.760969090340375,6.75,5.887,,21750.0,9.98736903651683,116.09216876569148
Bihar,2013,17.19883981713948,49832.0,20.32936517518653,6.75,6.75,,22201.0,10.007892611890918,116.09216876569148
Bihar,2014,17.19883981713948,62462.0,25.34515973671536,7.487,6.75,,22776.0,10.033462628957874,128.7677137109233
Bihar,2015,17.19883981713948,72862.0,16.650123274951167,7.929,7.487,6.4,23223.0,10.052898445872824,136.36960091009894
Bihar,2016,17.19883981713948,81270.0,11.539622848672826,6.38,7.929,3.6,24064.0,10.088472226749566,109.72859803334987
Bihar,2017,17.19883981713948,91294.0,12.334194659776054,6.084,6.38,3.9,25455.0,10.144667466336436,104.63774144747659
Bihar,2018,17.19883981713948,101253.0,10.90871251122747,6.333,6.084,3.8,26719.0,10.193130201800543,108.92025256194432
Bihar,2019,17.19883981713948,122446.0,20.93073785468085,5.44,6.333,4.0,29092.0,10.27821850127443,93.56168860523877
Bihar,2020,17.19883981713948,135679.0,10.807212975515746,4.056,5.44,4.8,29798.0,10.302196556147285,69.75849429831773
Bihar,2021,17.19883981713948,159318.0,17.422740438829877,4.0,4.056,4.8,26839.0,10.197611332567385,68.79535926855792
Bihar,2022,17.19883981713948,195592.0,22.76829987823097,5.486,4.0,5.3,27674.0,10.22824862322933,94.35283523682718
Bihar,2023,17.19883981713948,220827.0,12.901856926663658,6.5,5.486,5.9,30678.0,10.331301064308054,111.79245881140662
Bihar,2024,17.19883981713948,264746.0,19.888419441463224,6.464,6.5,4.3,33966.0,10.433115303264715,111.17330057798961
Bihar,2025,17.19883981713948,292274.0,10.397890808548581,5.517,6.464,4.3,36342.0,10.500729376209001,94.88599927115851
Chandigarh,2011,18.86266521388981,46221.0,11.97218924877057,5.887,5.887,,,,111.0445101141693
Chandigarh,2012,18.86266521388981,45486.0,-1.590186278964112,6.75,5.887,,158967.0,11.976451912491664,127.32299019375621
Chandigarh,2013,18.86266521388981,57852.0,27.186387020182035,6.75,6.75,,169336.0,12.039640185800007,127.32299019375621
Chandigarh,2014,18.86266521388981,57897.0,0.0777846919726155,7.487,6.75,,180615.0,12.104122972994428,141.224774456393
Chandigarh,2015,18.86266521388981,58699.0,1.385218577819236,7.929,7.487,6.4,182867.0,12.116514391637597,149.5620724809323
Chandigarh,2016,18.86266521388981,54458.0,-7.224995315082028,6.38,7.929,6.8,195205.0,12.181805567387176,120.34380406461698
Chandigarh,2017,18.86266521388981,60025.0,10.222556832788566,6.084,6.38,3.5,208231.0,12.24640331937219,114.76045516130559
Chandigarh,2018,18.86266521388981,69673.0,16.073302790503963,6.333,6.084,2.7,218201.0,12.293171935322027,119.45725879956416
Chandigarh,2019,18.86266521388981,76111.0,9.240308297331822,5.44,6.333,2.4,227231.0,12.333722400183515,102.61289876356057
Chandigarh,2020,18.86266521388981,78690.0,3.388472099959272,4.056,5.44,2.5,239373.0,12.38577828379076,76.50697010753707
Chandigarh,2021,18.86266521388981,78153.0,-0.6824247045367882,4.0,4.056,8.0,209158.0,12.250845226198596,75.45066085555924
Chandigarh,2022,18.86266521388981,82007.0,4.931352603227013,5.486,4.0,4.8,222250.0,12.31155815337615,103.48058136339948
Chandigarh,2023,18.86266521388981,75587.0,-7.828599997561181,6.5,5.486,4.7,253004.0,12.441160577861355,122.60732389028375
Chandigarh,2024,18.86266521388981,83008.0,9.817825816608682,6.464,6.5,3.4,275139.0,12.525031703495044,121.92826794258373
Chandigarh,2025,18.86266521388981,91035.0,9.670152274479559,5.517,6.464,5.8,,,104.06532398503008
Chhattisgarh,2011,43.44131918648663,29742.0,19.082319026265203,5.887,5.887,,,,255.73904605084678
Chhattisgarh,2012,43.44131918648663,36634.0,23.172617846815946,6.75,5.887,,55177.0,10.918301478768845,293.22890450878475
Chhattisgarh,2013,43.44131918648663,44597.0,21.736638095758032,6.75,6.75,,56777.0,10.946886593125658,293.22890450878475
Chhattisgarh,2014,43.44131918648663,52617.0,17.983272417427187,7.487,6.75,,61409.0,11.025311683198025,325.24515674922543
Chhattisgarh,2015,43.44131918648663,61062.0,16.049945834996304,7.929,7.487,4.3,61122.0,11.020627145818121,344.4462198296525
Chhattisgarh,2016,43.44131918648663,66405.0,8.750122825980156,6.38,7.929,5.3,61433.0,11.02570242903911,277.15561640978467
Chhattisgarh,2017,43.44131918648663,74179.0,11.706949777878162,6.084,6.38,5.6,67139.0,11.114520376172287,264.29698593058464
Chhattisgarh,2018,43.44131918648663,83656.0,12.775853004219528,6.333,6.084,2.8,68374.0,11.132747914388814,275.11387440801985
Chhattisgarh,2019,43.44131918648663,90253.0,7.885865927130142,5.44,6.333,1.8,75438.0,11.231066405821236,236.32077637448728
Chhattisgarh,2020,43.44131918648663,100164.0,10.981352420418155,4.056,5.44,4.7,76827.0,11.249311419852148,176.1979906203898
Chhattisgarh,2021,43.44131918648663,108588.0,8.41020726009345,4.0,4.056,4.2,74489.0,11.218406742459457,173.76527674594652
Chhattisgarh,2022,43.44131918648663,138103.0,27.18071978487493,5.486,4.0,7.7,78350.0,11.268941247784166,238.31907705706564
Chhattisgarh,2023,43.44131918648663,156810.0,13.545686914838928,6.5,5.486,6.4,82699.0,11.322962789040247,282.3685747121631
Chhattisgarh,2024,43.44131918648663,185447.0,18.262228174223583,6.464,6.5,6.5,87681.0,11.381460507226294,280.8046872214496
Chhattisgarh,2025,43.44131918648663,213314.0,15.02693491941094,5.517,6.464,4.8,93161.0,11.44208445816136,239.66575795184676
Dadra & Nagar Haveli and Daman & Diu,2011,35.20820671806393,784.0,-9.781357882623709,5.887,5.887,,,,207.27071294924232
Dadra & Nagar Haveli and Daman & Diu,2012,35.20820671806393,836.0,6.632653061224492,6.75,5.887,,,,237.6553953469315
Dadra & Nagar Haveli and Daman & Diu,2013,35.20820671806393,1237.0,47.9665071770335,6.75,6.75,,,,237.6553953469315
Dadra & Nagar Haveli and Daman & Diu,2014,35.20820671806393,1571.0,27.000808407437347,7.487,6.75,,,,263.6038436981446
Dadra & Nagar Haveli and Daman & Diu,2015,35.20820671806393,1768.0,12.53978357733927,7.929,7.487,7.0,,,279.1658710675289
Dadra & Nagar Haveli and Daman & Diu,2016,35.20820671806393,1955.0,10.576923076923084,6.38,7.929,9.2,,,224.62835886124785
Dadra & Nagar Haveli and Daman & Diu,2017,35.20820671806393,2316.0,18.46547314578004,6.084,6.38,5.0,,,214.20672967270093
Dadra & Nagar Haveli and Daman & Diu,2018,35.20820671806393,2947.0,27.24525043177892,6.333,6.084,6.5,,,222.97357314549885
Dadra & Nagar Haveli and Daman & Diu,2019,35.20820671806393,3585.0,21.649134713267728,5.44,6.333,-1.9,,,191.5326445462678
Dadra & Nagar Haveli and Daman & Diu,2020,35.20820671806393,4458.0,24.35146443514644,4.056,5.44,0.8,,,142.8044864484673
Dadra & Nagar Haveli and Daman & Diu,2021,35.20820671806393,4089.0,-8.277254374158815,4.0,4.056,6.9,,,140.8328268722557
Dadra & Nagar Haveli and Daman & Diu,2022,35.20820671806393,6766.0,65.46832966495475,5.486,4.0,6.3,,,193.1522220552987
Dadra & Nagar Haveli and Daman & Diu,2023,35.20820671806393,5407.0,-20.08572273130358,6.5,5.486,5.6,,,228.85334366741552
Dadra & Nagar Haveli and Daman & Diu,2024,35.20820671806393,6900.0,27.61235435546514,6.464,6.5,4.8,,,227.58584822556523
Dadra & Nagar Haveli and Daman & Diu,2025,35.20820671806393,7625.0,10.507246376811597,5.517,6.464,4.9,,,194.2436764635587
Delhi,2011,16.75195904012291,551995.0,30.94289225105207,5.887,5.887,,,,98.61878286920356
Delhi,2012,16.75195904012291,653735.0,18.431326370709876,6.75,5.887,,185001.0,12.128116509451258,113.07572352082964
Delhi,2013,16.75195904012291,734637.0,12.37535086847117,6.75,6.75,,192220.0,12.166395828377276,113.07572352082964
Delhi,2014,16.75195904012291,844416.0,14.943298527027626,7.487,6.75,,200702.0,12.209576499856851,125.42191733340022
Delhi,2015,16.75195904012291,907347.0,7.45260629831741,7.929,7.487,5.6,213669.0,12.272183367611888,132.82628322913456
Delhi,2016,16.75195904012291,970511.0,6.961394042191138,6.38,7.929,4.9,233115.0,12.359287173017822,106.87749867598416
Delhi,2017,16.75195904012291,965047.0,-0.563002377098254,6.084,6.38,5.3,244255.0,12.405968040524574,101.91891880010778
Delhi,2018,16.75195904012291,1076998.0,11.60057489427977,6.333,6.084,4.8,252960.0,12.440986652443298,106.09015660109839
Delhi,2019,16.75195904012291,1300026.0,20.70830215097892,5.44,6.333,2.7,257597.0,12.459151627181788,91.13065717826863
Delhi,2020,16.75195904012291,1365110.0,5.006361411233318,4.056,5.44,3.7,260559.0,12.470584602055125,67.94594586673851
Delhi,2021,16.75195904012291,1315663.0,-3.6221989436748703,4.0,4.056,3.3,228162.0,12.33781118194805,67.00783616049164
Delhi,2022,16.75195904012291,1425079.0,8.316415373845732,5.486,4.0,6.0,239821.0,12.387648090718743,91.90124729411427
Delhi,2023,16.75195904012291,1496251.0,4.99424944160991,6.5,5.486,4.0,252768.0,12.440227350964145,108.88773376079891
Delhi,2024,16.75195904012291,1680085.0,12.286307578073474,6.464,6.5,2.6,271490.0,12.511680585265275,108.28466323535449
Delhi,2025,16.75195904012291,1900568.0,13.123324117529766,5.517,6.464,2.4,283093.0,12.55353074454915,92.42055802435809
Goa,2011,11.979335570722878,9201.0,19.045154612498383,5.887,5.887,,,,70.52234850484558
Goa,2012,11.979335570722878,10241.0,11.303119226171066,6.75,5.887,,259444.0,12.46629615868535,80.86051510237942
Goa,2013,11.979335570722878,11470.0,12.000781173713504,6.75,6.75,,220019.0,12.301469185241737,80.86051510237942
Goa,2014,11.979335570722878,12939.0,12.807323452484741,7.487,6.75,,188358.0,12.146099686335521,89.68928541800219
Goa,2015,11.979335570722878,13747.0,6.244686606383798,7.929,7.487,6.5,241081.0,12.39288825558904,94.9841517402617
Goa,2016,11.979335570722878,15142.0,10.147668582236125,6.38,7.929,4.7,278601.0,12.53753592969685,76.42816094121196
Goa,2017,11.979335570722878,15856.0,4.715361246863026,6.084,6.38,5.1,305875.0,12.630931800744973,72.88227761227799
Goa,2018,11.979335570722878,17427.0,9.90792129162461,6.333,6.084,3.8,308296.0,12.638815639414466,75.86513216938799
Goa,2019,11.979335570722878,18803.0,7.895793883055036,5.44,6.333,2.6,308753.0,12.640296883476308,65.16758550473246
Goa,2020,11.979335570722878,19242.0,2.334733819071433,4.056,5.44,4.3,313973.0,12.657062273932127,48.58818507485199
Goa,2021,11.979335570722878,21038.0,9.333749090531128,4.0,4.056,6.9,295023.0,12.594808598384454,47.91734228289151
