STATE,Total Population,Total SC Population,Male SC Population,Female SC Population,Total ST Population,Male SC Population.1,Female SC Population.1,SC/ST Share (SC+ST shares/Population * 100),Credit 2010,Credit 2011,Credit 2012,Credit 2013,Credit 2014,Credit 2015,Credit 2016,Credit 2017,Credit 2018,Credit 2019,Credit_2020,Credit_2021,Credit_2022,Credit_2023,Credit_2024,Credit_2025,Credit Growth 2011,Credit Growth 2012,Credit Growth 2013,Credit Growth 2014,Credit Growth 2015,Credit Growth 2016,Credit Growth 2017,Credit Growth 2018,Credit Growth 2019,Credit Growth 2020,Credit Growth 2021,Credit Growth 2022,Credit Growth 2023,Credit Growth 2024,Credit Growth 2025,Repo Rate 2016 (TW Avg),Repo Rate 2017 (TW Avg),Repo Rate 2018 (TW Avg),Repo Rate 2019 (TW Avg),Repo Rate 2020 (TW Avg),Repo Rate 2021 (TW Avg),Repo Rate 2022 (TW Avg),Repo Rate 2023 (TW Avg),Repo Rate 2024 (TW Avg),Repo Rate 2025 (TW Avg),CPI 2014-15,CPI 2015-16,CPI 2016-17,CPI 2017-18,CPI 2018-19,CPI 2019-20,CPI 2020-21,CPI 2021-22,CPI 2022-23,CPI 2023-24,CPI 2024-25,NSDP 2011-12,NSDP 2012-13,NSDP 2013-14,NSDP 2014-15,NSDP 2015-16,NSDP 2016-17,NSDP 2017-18,NSDP 2018-19,NSDP 2019-20,NSDP 2020-21,NSDP 2021-22,NSDP 2022-23,NSDP 2023-24,NSDP 2024-25,Repo_2011,Repo_2012,Repo_2013,Repo_2014,Repo_2015,Repo_2016,Repo_2017,Repo_2018,Repo_2019,Repo_2020,Repo_2021,Repo_2022,Repo_2023,Repo_2024,Repo_2025
Andaman & Nicobar Islands,380581.0,0.0,0.0,0.0,28530.0,14731.0,13799.0,7.496433085203938,589,682,774,898,1014,1182.0,1429.0,1579.0,1843.0,2173.0,2381.0,2795.0,3462.0,3675.0,4110.0,4463.0,0.1466034741918758,0.126542215746265,0.1485981947124726,0.12148811584892893,0.15330501381491501,0.18976697996382352,0.09981683632577454,0.15460294341418113,0.1647140225866064,0.09141186623043307,0.1603115391023371,0.21401435014695558,0.059706675910781826,0.11186989584334306,0.08239815713898935,6.3801,6.0842,6.3329,5.4396,4.0559,4.0,5.4864,6.5,6.4637,5.5171,6.7,6.4,6.2,3.6,6.9,6.5,6.3,6.0,6.1,3.5,2.7,89100.0,92644.0,98735.0,106711.0,114660.0,129532.0,145562.0,154233.0,161564.0,146995.0,160513.0,170292.0,178431.0,,5.887,6.75,6.75,7.487,7.929,6.38,6.084,6.333,5.44,4.056,4.0,5.486,6.5,6.464,5.517
Andhra Pradesh + Telangana,84580777.0,19324119.0,,,9089587.0,,,33.593574104905656,262085,321243,384212,440659,490843,532161.0,594832.0,647399.0,757814.0,852852.0,923273.0,1037725.0,1211417.0,1341342.0,1607967.0,1768421.0,0.22572066314363662,0.1960167225433706,0.1469162858005476,0.11388397831429745,0.08417762909932504,0.11776699156834115,0.0883728514942034,0.1705516999562866,0.12541072083651134,0.08257118468386074,0.12396333478830206,0.16737767713026092,0.10725043482137035,0.19877480910908626,0.09978687373559283,6.3801,6.0842,6.3329,5.4396,4.0559,4.0,5.4864,6.5,6.4637,5.5171,5.5,7.4,5.2,3.4,1.1,3.5,9.0,5.8,7.6,5.5,4.4,160121.0,161597.0,168293.0,180598.0,200876.0,215627.0,234680.0,255630.0,263873.0,251714.0,274804.0,291116.0,310188.0,333737.0,5.887,6.75,6.75,7.487,7.929,6.38,6.084,6.333,5.44,4.056,4.0,5.486,6.5,6.464,5.517
Arunachal Pradesh,1383727.0,0.0,0.0,0.0,951821.0,468390.0,483431.0,68.78676212865689,1137,1231,1375,1531,1784,2146.0,2533.0,2843.0,3362.0,3834.0,4277.0,4920.0,6053.0,7279.0,8735.0,10273.0,0.07943363243391754,0.11062688391621744,0.10746738555701274,0.152936917482271,0.18474761005068885,0.16579872681103147,0.11545546164932485,0.16767620231756108,0.1313726096370278,0.10934318462131998,0.1400567012594447,0.20724548640533413,0.18443947322657017,0.18234445344989858,0.16218115064810767,6.3801,6.0842,6.3329,5.4396,4.0559,4.0,5.4864,6.5,6.4637,5.5171,6.0,4.8,2.6,4.4,5.9,6.0,8.5,4.0,6.5,4.6,5.1,73540.0,73960.0,79004.0,91034.0,88768.0,91311.0,94000.0,99570.0,113081.0,105892.0,104980.0,106512.0,110766.0,120943.0,5.887,6.75,6.75,7.487,7.929,6.38,6.084,6.333,5.44,4.056,4.0,5.486,6.5,6.464,5.517
Assam,31205576.0,2231321.0,1145314.0,1086007.0,3884371.0,1957005.0,1927366.0,19.598074395422152,18367,21377,25124,28525,31630,35715.0,43202.0,48754.0,57186.0,65150.0,70625.0,80871.0,95992.0,107839.0,127803.0,146867.0,0.15176000155074476,0.1615079868949909,0.12695733115600483,0.10332514156941919,0.12146473128937707,0.19031602186778507,0.12090045488516488,0.15952186782365807,0.1303831903873114,0.08069188589575127,0.1354711030895892,0.1714095621058931,0.11637451946188193,0.16985064172235376,0.13903739948355387,6.3801,6.0842,6.3329,5.4396,4.0559,4.0,5.4864,6.5,6.4637,5.5171,6.7,4.5,3.9,2.7,3.9,2.2,7.3,4.7,5.7,5.8,6.0,41142.0,41609.0,43002.0,44809.0,50642.0,53575.0,57835.0,59943.0,61519.0,62944.0,63657.0,71551.0,80089.0,85988.0,5.887,6.75,6.75,7.487,7.929,6.38,6.084,6.333,5.44,4.056,4.0,5.486,6.5,6.464,5.517
Bihar,104099452.0,16567325.0,8606253.0,7961072.0,1336573.0,682516.0,654057.0,17.19883981713948,29125,35167,41413,49832,62462,72862.0,81270.0,91294.0,101253.0,122446.0,135679.0,159318.0,195592.0,220827.0,264746.0,292274.0,0.18851123099021017,0.1634866983263148,0.18506250674945512,0.2259010238835586,0.15400886927219837,0.10920970365751259,0.11630812326120932,0.10353726715100642,0.19004778129284183,0.10262168526324089,0.1606104031494926,0.20512865208589126,0.1213487325669309,0.18139128623863954,0.09892084267737111,6.3801,6.0842,6.3329,5.4396,4.0559,4.0,5.4864,6.5,6.4637,5.5171,6.4,3.6,3.9,3.8,4.0,4.8,4.8,5.3,5.9,4.3,4.3,21750.0,22201.0,22776.0,23223.0,24064.0,25455.0,26719.0,29092.0,29798.0,26839.0,27674.0,30678.0,33966.0,36342.0,5.887,6.75,6.75,7.487,7.929,6.38,6.084,6.333,5.44,4.056,4.0,5.486,6.5,6.464,5.517
Chandigarh,1055450.0,199086.0,106356.0,92730.0,0.0,0.0,0.0,18.86266521388981,41279,46221,45486,57852,57897,58699.0,54458.0,60025.0,69673.0,76111.0,78690.0,78153.0,82007.0,75587.0,83008.0,91035.0,0.1130803441940671,-0.016029653965524915,0.24048343890926382,0.0007775445535962433,0.013757121148730178,-0.07499292854379824,0.09733137973730344,0.1490517261483113,0.08837993281529677,0.033323281475965416,-0.006847638700264724,0.04813616562782741,-0.08152029874733913,0.0936526779668636,0.09230705926194993,6.3801,6.0842,6.3329,5.4396,4.0559,4.0,5.4864,6.5,6.4637,5.5171,6.4,6.8,3.5,2.7,2.4,2.5,8.0,4.8,4.7,3.4,5.8,158967.0,169336.0,180615.0,182867.0,195205.0,208231.0,218201.0,227231.0,239373.0,209158.0,222250.0,253004.0,275139.0,,5.887,6.75,6.75,7.487,7.929,6.38,6.084,6.333,5.44,4.056,4.0,5.486,6.5,6.464,5.517
Chhattisgarh,25545198.0,3274269.0,1641738.0,1632531.0,7822902.0,3873191.0,3949711.0,43.44131918648663,24976,29742,36634,44597,52617,61062.0,66405.0,74179.0,83656.0,90253.0,100164.0,108588.0,138103.0,156810.0,185447.0,213314.0,0.17464482449341467,0.20841658267153385,0.19668982125163836,0.16537266925444705,0.14885047999373846,0.08388261341436554,0.11070873639579837,0.12023206104827366,0.07590368536146386,0.10419200499884873,0.08075206150039627,0.2404388794111494,0.12703509782479472,0.16773424554473237,0.13999613164124192,6.3801,6.0842,6.3329,5.4396,4.0559,4.0,5.4864,6.5,6.4637,5.5171,4.3,5.3,5.6,2.8,1.8,4.7,4.2,7.7,6.4,6.5,4.8,55177.0,56777.0,61409.0,61122.0,61433.0,67139.0,68374.0,75438.0,76827.0,74489.0,78350.0,82699.0,87681.0,93161.0,5.887,6.75,6.75,7.487,7.929,6.38,6.084,6.333,5.44,4.056,4.0,5.486,6.5,6.464,5.517
Dadra & Nagar Haveli and Daman & Diu,585764.0,12310.0,6490.0,5820.0,193927.0,96615.0,97312.0,35.20820671806393,869,784,836,1237,1571,1768.0,1955.0,2316.0,2947.0,3585.0,4458.0,4089.0,6766.0,5407.0,6900.0,7625.0,-0.10293410491498456,0.06421959273429412,0.3918157593077858,0.23902326586313372,0.11813660494196743,0.10054122922187769,0.16945136627341917,0.24094614404480907,0.19597077029602694,0.21794176091209216,-0.08639979358117067,0.5036096289760099,-0.22421565995864867,0.24382700120334633,0.09991091089026227,6.3801,6.0842,6.3329,5.4396,4.0559,4.0,5.4864,6.5,6.4637,5.5171,7.0,9.2,5.0,6.5,-1.9,0.8,6.9,6.3,5.6,4.8,4.9,,,,,,,,,,,,,,,5.887,6.75,6.75,7.487,7.929,6.38,6.084,6.333,5.44,4.056,4.0,5.486,6.5,6.464,5.517
Delhi,16787941.0,2812309.0,1488800.0,1323509.0,0.0,0.0,0.0,16.75195904012291,421554,551995,653735,734637,844416,907347.0,970511.0,965047.0,1076998.0,1300026.0,1365110.0,1315663.0,1425079.0,1496251.0,1680085.0,1900568.0,0.2695911051500257,0.16916308230017663,0.11667442909889658,0.1392687644962205,0.0718796927235914,0.06729778002461906,-0.005645932092395611,0.10975601532828527,0.18820672310518027,0.048850747203131206,-0.03689429038868752,0.07988652969850563,0.048735395446890095,0.11588174114603333,0.12330840149158817,6.3801,6.0842,6.3329,5.4396,4.0559,4.0,5.4864,6.5,6.4637,5.5171,5.6,4.9,5.3,4.8,2.7,3.7,3.3,6.0,4.0,2.6,2.4,185001.0,192220.0,200702.0,213669.0,233115.0,244255.0,252960.0,257597.0,260559.0,228162.0,239821.0,252768.0,271490.0,283093.0,5.887,6.75,6.75,7.487,7.929,6.38,6.084,6.333,5.44,4.056,4.0,5.486,6.5,6.464,5.517
Goa,1458545.0,25449.0,12627.0,12822.0,149275.0,72948.0,76327.0,11.979335570722878,7729,9201,10241,11470,12939,13747.0,15142.0,15856.0,17427.0,18803.0,19242.0,21038.0,24092.0,25566.0,29810.0,32244.0,0.17433268567548943,0.10708709729307664,0.11333566004797824,0.12051107519253712,0.06057461215546667,0.09665172119183119,0.04607563790651881,0.09447275009087264,0.0759957038948329,0.023078958365735147,0.08923493637800917,0.13554950886439165,0.05938350856435548,0.15358056394414987,0.07848807173137473,6.3801,6.0842,6.3329,5.4396,4.0559,4.0,5.4864,6.5,6.4637,5.5171,6.5,4.7,5.1,3.8,2.6,4.3,6.9,4.6,3.2,3.0,3.5,259444.0,220019.0,188358.0,241081.0,278601.0,305875.0,308296.0,308753.0,313973.0,295023.0,294563.0,333709.0,357611.0,,5.887,6.75,6.75,7.487,7.929,6.38,6.084,6.333,5.44,4.056,4.0,5.486,6.5,6.464,5.517
